FID,globalid,uniq_id,timestamp,editor,wardname,wardcode,lganame,lgacode,statename,statecode,idp_hf_prv,idp_hf,idp_am_mdc,tot_hhold,f_pop_60,m_pop_pl60,f_pop18_59,m_pop18_59,f_pop6_17,m_pop6_17,f_pop1_5,m_pop1_5,f_pop_und1,b_pop_und1,site_id,idp_prtb_w,idp_amnts,idp_am_hs,idp_am_med,agncy_cntc,agency_nam,sma_type,site_cls_d,site_opn_d,site_statu,site_type,set_name,alt_st_nam,t_pop_und5,total_pop,pop_source,site_name
176,7c231490-205c-44bb-90d8-678b3c98bd9b,7050,1517529600000,dennis.irorere,Pulka Bokko,"11112",Gwoza,"111",Borno,BR,INGO,Yes,Yes,659,50,40,651,533,488,400,326,266,113,94,BO_S207,Yes,Yes,Yes,Yes,0, ,Armed Forces,,,Formal,Camp,Umbazah Rock Side Camp, ,0,2961,IOM DTM RD24 August 2018,Umbazah Rock Side Camp
177,37bd9a57-eb53-423a-a41d-a57bc9eb8902,7051,1517529600000,dennis.irorere,Lassa,"10205",Askira Uba,"102",Borno,BR,Government,Yes,No,489,4,5,494,489,845,840,118,112,15,12,BO_S181,No,No,Yes,No,0, , ,,,Informal,Collective Settlement/Centre,Vocational Training Centre, ,0,2934,IOM DTM RD24 August 2018,Vocational Training Centre
178,242ea13e-b58b-45e7-beb6-8623b4b61f87,7052,1517529600000,dennis.irorere,Benisheikh,"11401",Kaga,"114",Borno,BR,INGO,Yes,Yes,333,36,33,324,203,379,307,165,110,91,86,BO_S162,Yes,Yes,Yes,No,0, , ,,,Informal,Camp,Aisha Buhari Camp, ,0,1734,IOM DTM RD24 August 2018,Aisha Buhari Camp
179,"07024d5b-8bd6-45e8-9b48-35ae0fc209df",7053,1517529600000,dennis.irorere,Mashamari,"11305",Jere,"113",Borno,BR,INGO,Yes,No,7,1,1,11,7,9,6,6,4,1,1,BO_S164,Yes,Yes,Yes,No,0, ,Individual/Private,,,Informal,Collective Settlement/Centre,Bakura Ahmed House, ,0,47,IOM DTM RD24 August 2018,Bakura Ahmed House
180,855711ae-c312-4de0-90ac-e529bee2c3fe,7054,1517529600000,dennis.irorere,Dalori,"11603",Konduga,"116",Borno,BR,INGO,Yes,Yes,421,33,27,578,473,240,197,164,134,76,63,BO_S172,Yes,Yes,No,No,0, , ,,,Informal,Camp,Flatari, ,0,1985,IOM DTM RD24 August 2018,Flatari
181,57aa0d5a-3514-40f2-a342-b074fd959b10,7055,1517529600000,dennis.irorere,Dusuman,"11307",Jere,"113",Borno,BR,INGO,Yes,No,410,49,40,701,572,438,358,250,204,33,28,BO_S168,Yes,Yes,Yes,Yes,0, , ,,,Informal,Collective Settlement/Centre,Muna Moforo, ,0,2673,IOM DTM RD24 August 2018,Muna Moforo
182,3131ba4f-09f4-40f6-84b9-24660104ed0c,7205,1517529600000,adanna.alex,Monguno,"12307",Monguno,"123",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,1474675200000,1474675200000, ,Formal,GGSS, ,137,0,eHA_Polio,Gss Fulatari
183,"0ee740b1-1452-4de8-b1da-2d346535c3c6",7056,1517529600000,dennis.irorere,Kauwa,"11707",Kukawa,"117",Borno,BR,INGO,Yes,Yes,109,18,13,113,102,53,31,47,34,14,11,BO_S170,Yes,Yes,No,Yes,0, , ,,,Informal,Camp,Quarters Camp, ,0,436,IOM DTM RD24 August 2018,Quarters Camp
184,ae5c51ae-7734-4458-b320-7a7c95487d1f,7057,1517529600000,dennis.irorere,Dalori,"11603",Konduga,"116",Borno,BR,INGO,Yes,Yes,98,7,4,106,87,44,36,30,25,15,10,BO_S071,Yes,Yes,No,No,0, , ,,, ,Collective Settlement/Centre,Challunuri, ,0,364,IOM DTM RD24 August 2018,Challunuri
185,18fe60d1-23fc-4f64-8f74-9a8c73efee6f,7058,1517529600000,dennis.irorere,Alau,"11302",Jere,"113",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S075, , ,No,No,0, , ,,, ,Collective Settlement/Centre,Gaya Kofa, ,0,0,IOM DTM RD24 August 2018,Gaya Kofa
186,fcb99c9d-0ea1-4352-a1e0-880660e7e751,7059,1517529600000,dennis.irorere,Mashamari,"11305",Jere,"113",Borno,BR,INGO,Yes,No,25,0,0,36,28,22,18,20,16,4,5,BO_S125,Yes,Yes,No,No,0, , ,,, ,Collective Settlement/Centre,Gidan Mongoro, ,0,149,IOM DTM RD24 August 2018,Gidan Mongoro
187,"0a451f3b-bfd2-4514-8edb-1bf256afe963",7187,1517529600000,adanna.alex,Bulabulin,"12403",Maiduguri,"124",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Formal,Saha, ,175,0,eHA_Polio,Benisheik
188,18e20976-7b54-4058-a655-80a958385bac,7060,1517529600000,dennis.irorere,Ngala,"12507",Ngala,"125",Borno,BR,INGO,Yes,Yes,10337,672,549,9827,6451,6492,5311,4924,4029,1343,1099,BO_S135,Yes,Yes,No,Yes,0, ,Government,,, ,Collective Settlement/Centre,International School Camp, ,0,40697,IOM DTM RD24 August 2018,International School Camp
189,879c1317-7529-403e-b0bc-d8dd7877719a,7061,1517529600000,dennis.irorere,Yabal,"11610",Konduga,"116",Borno,BR,Government,Yes,Yes,827,82,50,1090,891,654,534,437,356,170,138,BO_S078,Yes,Yes,No,Yes,0, ,INGO,,, ,Collective Settlement/Centre,Mashuman Kuluye, ,0,4402,IOM DTM RD24 August 2018,Mashuman Kuluye
190,8bf69a5f-187a-42c0-a414-b668ab785c5a,7062,1517529600000,dennis.irorere,Mairi,"11309",Jere,"113",Borno,BR,Government,Yes,Yes,547,33,25,482,395,294,240,168,137,73,60,BO_S108,Yes,Yes,No,No,0, , ,,, ,Collective Settlement/Centre,Yawuri Camp, ,0,1907,IOM DTM RD24 August 2018,Yawuri Camp
191,8e5b8db0-c29e-4c57-a3e6-718c430e4949,7063,1517529600000,dennis.irorere,Monguno,"12307",Monguno,"123",Borno,BR,INGO,Yes,Yes,1590,179,146,3248,2165,1786,1462,654,536,357,292,BO_S097,Yes,Yes,No,Yes,0, ,Government,,, ,Collective Settlement/Centre,Water Board, ,0,10825,IOM DTM RD24 August 2018,Water Board
192,a06df3f4-27ff-4e49-8729-69b9352d9cc8,7064,1517529600000,dennis.irorere,Dikwa,"10803",Dikwa,"108",Borno,BR,NGO,Yes,Yes,968,99,86,1337,942,850,724,509,449,195,238,BO_S142,Yes,Yes,Yes,Yes,0, ,INGO,,,Informal,Collective Settlement/Centre,Agric Idp Camp, ,0,5429,IOM DTM RD24 August 2018,Agric Idp Camp
193,491fea82-6010-4315-aae7-81d52a411cee,7065,1517529600000,dennis.irorere,Nzuba Wayaram,"10706",Damboa,"107",Borno,BR,INGO,Yes,Yes,634,24,27,812,542,319,283,245,218,49,54,BO_S134,Yes,Yes,Yes,Yes,0, , ,,,Informal,Collective Settlement/Centre,Hausari Primary School Damboa, ,0,2573,IOM DTM RD24 August 2018,Hausari Primary School Damboa
194,"0a891869-ee24-4ff3-9fd5-a1b027784d25",7066,1517529600000,dennis.irorere,Maisandari,"12413",Maiduguri,"124",Borno,BR,INGO,Yes,Yes,47,6,11,72,41,49,39,18,24,13,14,BO_S102,Yes,Yes,Yes,Yes,0, , ,,,Informal,Camp,Kaduwa I, ,0,287,IOM DTM RD24 August 2018,Kaduwa I
195,d73f79b1-0ece-4402-9c4c-3099b1b92b02,7067,1517529600000,dennis.irorere,Galtimari,"11306",Jere,"113",Borno,BR,INGO,Yes,Yes,43,9,5,40,39,40,34,41,26,13,12,BO_S103,Yes,Yes,Yes,Yes,0, , ,,,Informal,Collective Settlement/Centre,Kaduwa II, ,0,259,IOM DTM RD24 August 2018,Kaduwa II
196,ded7ff78-c95b-4936-9184-77c082023a99,7094,1517529600000,dennis.irorere,Bolewa A,"71406",Potiskum,"714",Yobe,YO, , , ,0,0,0,0,0,0,0,0,0,0,0,YB_S014, , ,Yes,Yes,0, , ,,,Informal,Camp,Garin Liman, ,0,0,IOM DTM RD24 August 2018,Tandari
197,391dd448-fe4f-402b-ac7f-6977f1da1c41,7068,1517529600000,dennis.irorere,Dikwa,"10803",Dikwa,"108",Borno,BR,INGO,Yes,Yes,449,56,47,357,436,305,251,237,88,62,72,BO_S137,Yes,Yes,Yes,No,0, ,INGO,,,Informal,Collective Settlement/Centre,Kamchijin Prayer Ground, ,0,1911,IOM DTM RD24 August 2018,Kamchijin Prayer Ground
198,7d80897e-9770-4ed2-a428-e0f71de6fa78,7069,1517529600000,dennis.irorere,Boboshe,"10802",Dikwa,"108",Borno,BR,INGO,Yes,Yes,406,26,24,452,385,392,319,191,173,86,101,BO_S143,Yes,Yes,No,Yes,0, , ,,,Informal,Collective Settlement/Centre,Motor Park Idp Camp, ,0,2149,IOM DTM RD24 August 2018,Motor Park Idp Camp
199,6f72f7c1-d70c-486c-a1bf-12fc0801de7d,7070,1517529600000,dennis.irorere,Galtimari,"11306",Jere,"113",Borno,BR,INGO,Yes,Yes,223,24,22,246,201,282,231,74,58,32,26,BO_S117,Yes,Yes,Yes,Yes,0, , ,,,Informal,Collective Settlement/Centre,Yajiwa Camp Kusheri, ,0,1196,IOM DTM RD24 August 2018,Yajiwa Camp Kusheri
200,eb40d99a-4277-4e42-bdad-8bbd4d776305,7071,1517529600000,dennis.irorere,Dalori,"11603",Konduga,"116",Borno,BR,INGO,Yes,Yes,2150,227,150,2582,2070,2049,1850,2017,750,502,378,BO_S021,Yes,Yes,Yes,Yes,8033597914,NEMA,Government,1388620800000,1388620800000, ,Collective Settlement/Centre,Kofa,250 Housing Estate,0,12575,IOM DTM RD24 August 2018,Kofa
201,a9cbbff4-dff0-4049-a0ab-f4d222595ea3,7184,1517529600000,adanna.alex,Gajiram,"12604",Nganzai,"126",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Not identified,Gajiram, ,0,0,eHA_Polio,Staff Quarters
202,8449c27e-d897-4350-a2d2-72266e3fb7bc,7072,1517529600000,dennis.irorere,Loskuri,"11906",Mafa,"119",Borno,BR,INGO,Yes,No,6137,393,321,7831,6406,6460,5286,4111,3363,783,640,BO_S047,Yes,Yes,No,Yes,0, ,Government,,, ,Collective Settlement/Centre,Muna Garage El Badawe, ,0,35594,IOM DTM RD24 August 2018,Muna Garage El Badawe
203,ece2a31c-3e2b-4b14-80cb-02ad45f95d50,7073,1517529600000,dennis.irorere,Monguno,"12307",Monguno,"123",Borno,BR,INGO,Yes,Yes,827,81,66,1001,818,865,708,595,486,162,133,BO_S091,Yes,Yes,No,Yes,0, ,Government,,, ,Collective Settlement/Centre,Ngurno, ,0,4915,IOM DTM RD24 August 2018,Ngurno
204,c4c4cd74-247f-4226-b836-8f450d80f44b,7074,1517529600000,dennis.irorere,Gajiram,"12604",Nganzai,"126",Borno,BR,NGO,Yes,No,1157,121,154,1380,883,875,726,441,497,195,247,BO_S064,Yes,Yes,Yes,No,0, , ,,, ,Collective Settlement/Centre,LG Quarters, ,0,5519,IOM DTM RD24 August 2018,LG Quarters
205,f9dc26d1-a95d-4411-9d19-10dc3d010e8b,7075,1517529600000,dennis.irorere,Galtimari,"11306",Jere,"113",Borno,BR,INGO,Yes,Yes,28,1,1,28,20,34,30,18,16,9,5,BO_S225,Yes,Yes,No,Yes,0, , ,,, ,Not identified,Ajiri II, ,0,162,IOM DTM RD24 August 2018,Ajiri II
206,f468a5cc-fc33-4b7b-973c-2e11c3f1bd89,7076,1517529600000,dennis.irorere,Sugundure,"12612",Nganzai,"126",Borno,BR,NGO,Yes,Yes,59,14,13,67,54,56,46,28,33,14,17,BO_S153,Yes,Yes,No,Yes,0, , ,,, ,Not identified,Gasarwa Camp, ,0,342,IOM DTM RD24 August 2018,Gasarwa Camp
207,1fea89d6-04b9-439a-9d2e-fdf070bc78d5,7077,1517529600000,dennis.irorere,Monguno,"12307",Monguno,"123",Borno,BR,INGO,Yes,Yes,1647,153,126,1886,1544,1631,1335,1121,918,306,250,BO_S177,Yes,Yes,No,Yes,0, , ,,, ,Not identified,Vertinary, ,0,9270,IOM DTM RD24 August 2018,Vertinary
208,569518a8-7e16-4c8e-96ce-7d0152b18174,7078,1517529600000,dennis.irorere,Gajiganna,"12005",Magumeri,"120",Borno,BR,INGO,Yes,Yes,265,32,28,219,262,201,172,91,113,39,45,BO_S185,No,Yes,No,No,0, , ,,, ,Not identified,Behind Secretariat, ,0,1202,IOM DTM RD24 August 2018,Behind Secretariat
209,592fd661-d9e4-4842-b368-ed69c62efd6c,7079,1517529600000,dennis.irorere,Maiwa,"12609",Nganzai,"126",Borno,BR,Government,Yes,No,39,8,7,44,38,39,34,18,21,8,10,BO_S186,Yes,No,No,No,0, , ,,, ,Not identified,Jigalta Lawanti, ,0,227,IOM DTM RD24 August 2018,Jigalta Lawanti
210,9aa883f5-17ec-4e0d-b8d9-7b85b25ec20c,7080,1517529600000,dennis.irorere,Gajiram,"12604",Nganzai,"126",Borno,BR,NGO,Yes,No,524,59,55,505,412,357,292,182,197,82,96,BO_S228,Yes,Yes,Yes,No,0, , ,,, ,Not identified,Bukarti Camp, ,0,2237,IOM DTM RD24 August 2018,Bukarti Camp
211,600ad614-4ac4-4c81-9d8d-88cd3c9c8192,7082,1517529600000,dennis.irorere,Monguno,"12307",Monguno,"123",Borno,BR,INGO,Yes,Yes,940,77,63,947,775,819,670,563,461,153,126,BO_S230,Yes,Yes,Yes,Yes,0, , ,,, ,Not identified,Stadium Camp, ,0,4654,IOM DTM RD24 August 2018,Stadium Camp
212,7e0d0a66-9ac6-4239-ab42-4e5abd9cdc2d,7083,1517529600000,dennis.irorere,Galtimari,"11306",Jere,"113",Borno,BR,Government,Yes,Yes,29,8,5,36,28,26,20,15,12,6,4,BO_S119,Yes,Yes,Yes,Yes,0, , ,,, ,Collective Settlement/Centre,Galtimari, ,0,160,IOM DTM RD24 August 2018,Kekeno Non Government IDP Camp
213,408d4169-f1e6-4803-b683-d28b3dd4c6ba,7084,1517529600000,dennis.irorere,Monguno,"12307",Monguno,"123",Borno,BR,INGO,Yes,Yes,504,62,49,748,612,646,529,444,364,121,99,BO_S099,Yes,Yes,Yes,Yes,0, ,Government,,, ,Collective Settlement/Centre,Monguno, ,0,3674,IOM DTM RD24 August 2018,NRC 1 and 2
214,93cde292-6701-4410-b3ef-ded7dd4b6ea8,7085,1517529600000,dennis.irorere,Damboa,"10703",Damboa,"107",Borno,BR,INGO,Yes,Yes,13,2,1,13,9,10,7,5,3,1,1,BO_S227,Yes,Yes,No,Yes,0, , ,,, ,Not identified,Arege, ,0,52,IOM DTM RD24 August 2018,Police Doki
215,433fd477-2fc7-489b-b046-e60c5881ce62,7086,1517529600000,dennis.irorere,Benisheikh,"11401",Kaga,"114",Borno,BR,INGO,Yes,Yes,327,40,28,325,263,443,322,93,76,63,44,BO_S028,Yes,Yes,Yes,No,8021217150, ,Armed Forces,1450051200000,1450051200000, ,Collective Settlement/Centre,Benisheik Town,GSSS Benisheikh,0,1697,IOM DTM RD24 August 2018,GSS Benishiek
216,d0cfbeb7-157f-4950-93b9-aabd899bc963,7087,1517529600000,dennis.irorere,Mayo Inne,ADSFUR06,Fufore,"2002",Adamawa,AD,Government,Yes,No,6,0,0,6,6,0,11,6,1,1,1,AD_S028,No,Yes,Yes,No,0, , ,,,Informal,Collective Settlement/Centre,Hullere, ,0,32,IOM DTM RD24 August 2018,Hullere
217,5c594839-0bac-463a-bf96-d12ed8c190de,7088,1517529600000,dennis.irorere,Mayo Inne,ADSFUR06,Fufore,"2002",Adamawa,AD,Local Clinic,Yes,Yes,50,1,0,61,33,22,35,8,9,3,2,AD_S036,Yes,Yes,No,Yes,0, , ,,,Informal,Collective Settlement/Centre,Anguwan Abuja, ,0,174,IOM DTM RD24 August 2018,Anguwan Abuja
218,ed1b1bdf-f6ce-44e9-b583-2d654641344d,7089,1517529600000,dennis.irorere,Sabon Gida,TRSGAS06,Gassol,"35005",Taraba,TA,Local Clinic,Yes,Yes,60,25,21,156,122,133,128,48,52,31,27,TR_S005,No,Yes,Yes,Yes,0, , ,,,Informal,Collective Settlement/Centre,LG Quarters, ,0,743,IOM DTM RD24 August 2018,LG Quarters
219,f6099e88-78f0-411d-8986-76731f914c08,7091,1517529600000,dennis.irorere,Rann,"11510",Kala Balge,"115",Borno,BR,INGO,Yes,Yes,1988,189,174,2506,2218,2058,1697,1240,1062,504,465,BO_S174,Yes,Yes,No,Yes,0, , ,,,Formal,Collective Settlement/Centre,Boarding Primary School Behind Boarding, ,0,12113,IOM DTM RD24 August 2018,Boarding Primary School
220,e650c439-84b0-410c-889c-afb310aabe5a,7136,1517529600000,dennis.irorere,Lamba,PLSWAS12,Wase,"32017",Plateau,PL, , , ,0,0,0,0,0,0,0,0,0,0,0,PL_S008, , , , ,0, , ,,,Informal,Collective Settlement/Centre,Jankwano, ,0,0,IOM DTM RD24 August 2018,Jankwano Camp
221,515ddbc7-6ff1-427c-b39e-9a425dcc289b,7092,1517529600000,dennis.irorere,Rann,"11510",Kala Balge,"115",Borno,BR,INGO,Yes,Yes,2254,215,198,2892,2462,2284,2108,1334,1136,571,527,BO_S175,Yes,Yes,No,Yes,0, ,Armed Forces,,,Formal,Collective Settlement/Centre,Boarding Primary School Behind Boarding, ,0,13727,IOM DTM RD24 August 2018,General Hospital Rann
222,9335712e-85da-43ac-809f-b4775b312766,7182,1517529600000,adanna.alex,Gajiram,"12604",Nganzai,"126",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Not identified,Gajiram, ,0,0,eHA_Polio,Gajiram Boarding Primary School
223,485ab636-fd30-405e-be26-7667465becd2,7097,1517529600000,dennis.irorere,Rann,"11510",Kala Balge,"115",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S173, , ,No, ,0, ,Armed Forces,,,Formal,Collective Settlement/Centre,Kalumari, ,0,0,IOM DTM RD24 August 2018,Rann Idp Site
224,1fd0889c-a09d-4581-b488-71403b299119,7099,1517529600000,dennis.irorere,Gajiram,"12604",Nganzai,"126",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S100, , ,Yes,No,0, , ,,, ,Collective Settlement/Centre,Gss Gajiram 2,Government Secondary School Nganzai,0,0,IOM DTM RD24 August 2018,GSS Nganzai
225,ac1fcd73-047c-40c9-8848-657861b7d55d,7100,1517529600000,dennis.irorere,Dusuman,"11307",Jere,"113",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S211, , ,Yes, ,0, , ,,,Informal,Collective Settlement/Centre,Alhaji Ali Kaka, ,0,0,IOM DTM RD24 August 2018,Alhaji Ali Kaka
226,c87b7126-7d64-4f6e-b868-e3521c9f14e6,7101,1517529600000,dennis.irorere,Galdimari,"10503",Biu,"105",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S032, , ,Yes,Yes,7039759242,NRCS,Local NGO,1402704000000,1402704000000, ,Camp,Kenken Biu Town, ,0,0,IOM DTM RD24 August 2018,VTC Camp B
227,ff5ea719-297b-47cb-ae82-742afe6688d0,7102,1517529600000,dennis.irorere,Galdimari,"10503",Biu,"105",Borno,BR,Government,Yes,Yes,261,50,25,221,153,212,220,131,141,31,30,BO_S015,No,Yes,Yes,Yes,8067640070,NRCS,Local NGO,1450310400000,1450310400000, ,Camp,Kenken Biu Town,Zonal Education Center Biu,0,1214,IOM DTM RD24 August 2018,GGSS Biu
228,7fc37086-aba1-4b6c-9d5c-1af314dc8498,7104,1517529600000,dennis.irorere,Vih / Boka,ADSMCH14,Michika,"2013",Adamawa,AD, , , ,0,0,0,0,0,0,0,0,0,0,0,AD_S039, , ,Yes, ,0, , ,,,Informal,Transitional Centre,Sabon Layi, ,0,0,IOM DTM RD24 August 2018,Sabon Layi
229,98b43386-63de-41d5-8def-255f082bcc56,7105,1517529600000,dennis.irorere,Mashamari,"11305",Jere,"113",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S126, , ,Yes, ,0, , ,,, ,Collective Settlement/Centre,Goni Kachallari, ,0,0,IOM DTM RD24 August 2018,Old Amana Hospital
230,ce01814e-a63d-40d5-a388-fc9206a54f89,7106,1517529600000,dennis.irorere,Mayo Inne,ADSFUR06,Fufore,"2002",Adamawa,AD, , , ,0,0,0,0,0,0,0,0,0,0,0,AD_S022, , ,Yes, ,0, , ,,,Informal,Collective Settlement/Centre,Labour House, ,0,0,IOM DTM RD24 August 2018,Labour House
231,848dce27-6662-4dcc-bbce-a3521eae5b54,7146,1517529600000,dennis.irorere,Mariri,KN2509,Kumbotso,"20044",Kano,KN, , , ,0,0,0,0,0,0,0,0,0,0,0,KN_S001, , , , ,0, ,Government,,,Informal,Camp,Mariri, ,0,0,IOM DTM RD24 August 2018,Mariri Boarding School
232,1496641d-9f3c-42ea-b038-7f9efc2da448,7107,1517529600000,dennis.irorere,Mashamari,"11305",Jere,"113",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S020, , ,Yes, ,8023965522,SEMA/NEMA,Government,1440806400000,1440806400000,Open,Camp,Goni Kachallari Idp Camp,Goni Kachallari Pw,0,0,IOM DTM RD24 August 2018,Goni Kachallari IDP Camp
233,4b9c98de-7849-48a5-adbe-5341fdae1b1f,7108,1517529600000,dennis.irorere,Dakri,ADSGRE01,Girei,"2004",Adamawa,AD, , , ,0,0,0,0,0,0,0,0,0,0,0,AD_S001, , ,Yes, ,0, , ,,,Formal,Camp,NYSC Camp Adamawa, ,0,0,IOM DTM RD24 August 2018,NYSC Camp Adamawa
234,6139f6c6-b490-469c-9014-ce2177aa0e6d,7110,1517529600000,dennis.irorere,Mamudo,"71403",Potiskum,"714",Yobe,YO, , , ,0,0,0,0,0,0,0,0,0,0,0,YB_S009, , ,Yes, ,0, , ,,,Informal,Collective Settlement/Centre,Mamudo, ,0,0,IOM DTM RD24 August 2018,Dan Batta
235,41ed60c7-4905-4d12-9b06-f93414ee07b6,7112,1517529600000,dennis.irorere,Hausawa Asibiti,"71402",Potiskum,"714",Yobe,YO, , , ,0,0,0,0,0,0,0,0,0,0,0,YB_S011, , ,Yes, ,0, , ,,,Informal,Collective Settlement/Centre,Garin Liman, ,0,0,IOM DTM RD24 August 2018,Mai Disa
236,121e5670-2a59-4be9-8929-3e86a559e846,7113,1517529600000,dennis.irorere,Bolewa A,"71406",Potiskum,"714",Yobe,YO, , , ,0,0,0,0,0,0,0,0,0,0,0,YB_S015, , ,Yes, ,0, , ,,,Informal,Camp,Garin Liman, ,0,0,IOM DTM RD24 August 2018,Jibir Janko
237,ac9505f4-be78-4cc8-b479-d5e574340ca1,7114,1517529600000,dennis.irorere,Bolewa A,"71406",Potiskum,"714",Yobe,YO, , , ,0,0,0,0,0,0,0,0,0,0,0,YB_S016, , , , ,0, , ,,,Informal,Camp,Garin Liman, ,0,0,IOM DTM RD24 August 2018,Bayan Waya
238,a94ef5a2-7f93-49f6-8fbf-40db378eb009,7115,1517529600000,dennis.irorere,Monguno,"12307",Monguno,"123",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S095, , , , ,0, ,Government,,, ,Transitional Centre,Monguno, ,0,0,IOM DTM RD24 August 2018,Local Government Sectariat
239,a0b52570-b90f-4c6a-b446-8c96ffac1c2a,7120,1517529600000,dennis.irorere,Pulka Bokko,"11112",Gwoza,"111",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S112, , ,Yes, ,0, ,Armed Forces,,, ,Collective Settlement/Centre,Bulama Manya Tada, ,0,0,IOM DTM RD24 August 2018,General Hospital Pulka
240,a865b9bb-3c72-44b6-a467-86efbc46055b,7122,1517529600000,dennis.irorere,Bali A,TRSBAL01,Bali,"35002",Taraba,TA, , , ,0,0,0,0,0,0,0,0,0,0,0,TR_S017, , ,Yes, ,0, , ,,, ,Not identified,Angwan Nayinawa, ,0,0,IOM DTM RD24 August 2018,LG Council Hall
241,4e773578-f335-4ad4-a179-d6eb6faf71ef,7123,1517529600000,dennis.irorere,Bali A,TRSBAL01,Bali,"35002",Taraba,TA, , , ,0,0,0,0,0,0,0,0,0,0,0,TR_S036, , ,Yes, ,0, , ,,, ,Not identified,Angwan Nayinawa, ,0,0,IOM DTM RD24 August 2018,Tiv Council Hall
242,c542c59f-75ad-449d-9d65-557db9b5f7a2,7124,1517529600000,dennis.irorere,Yerimaram,"71409",Potiskum,"714",Yobe,YO, , , ,0,0,0,0,0,0,0,0,0,0,0,YB_S017, , ,Yes, ,0, , ,,, ,Not identified,Gishiwa Dabuwa, ,0,0,IOM DTM RD24 August 2018,Bayan NNPC
243,6cf2dbdb-0539-47c6-b99b-597e2eb1273d,7125,1517529600000,dennis.irorere,Garu,"10601",Chibok,"106",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S150, , , , ,0, ,Individual/Private,,, ,Collective Settlement/Centre,Military Base, ,0,0,IOM DTM RD24 August 2018,20 Housing Unit Garu
244,ae4c5369-3f24-4b90-9b09-26c6e1db3c39,7226,1517529600000,adanna.alex,Dan Amar B,BA0202,Bauchi,"5002",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Karofi Madaki, ,0,0,IOM DTM RD16 May 2017,Kandahar
245,84ea848e-1fc2-4b25-9bd4-9030e8d32cc3,7126,1517529600000,dennis.irorere,Benisheikh,"11401",Kaga,"114",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S193, , ,Yes, ,0, , ,,,Informal,Collective Settlement/Centre,Fulatari Lamido Camp, ,0,0,IOM DTM RD24 August 2018,Fulatari Lamido Camp
246,"079b92e9-2431-42e1-bf4e-20dda7f063ba",7128,1517529600000,dennis.irorere,Kona,TRSJAL03,Jalingo,"35007",Taraba,TA, , , ,0,0,0,0,0,0,0,0,0,0,0,TR_S033, , , , ,0, , ,,,Informal,Camp,Mile Six Primary School Camp, ,0,0,IOM DTM RD24 August 2018,Mile Six Primary School Camp
247,cf248232-d718-4dcb-8f73-2e6a2d707fa6,7129,1517529600000,dennis.irorere,Mairi,"11309",Jere,"113",Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S109, , ,No, ,0, , ,,, ,Collective Settlement/Centre,Dalori Primary, ,0,0,IOM DTM RD24 August 2018,Dalori Primary
248,"0aaf2a32-2628-4eab-85a1-457d489aebb3",7138,1517529600000,dennis.irorere,Sopp,PLSRYM14,Riyom,"32015",Plateau,PL, , , ,0,0,0,0,0,0,0,0,0,0,0,PL_S011, , , , ,0, ,Individual/Private,,,Informal,Collective Settlement/Centre,Sopp Primary School, ,0,0,IOM DTM RD24 August 2018,Sopp Primary School
249,728afa77-24e2-4379-9f84-ba6fd4520da5,7139,1517529600000,dennis.irorere,City Center 1,FCTABC01,Municipal Area Council,"15006",Fct,FC, , , ,0,0,0,0,0,0,0,0,0,0,0,FC_S002, , , , ,0, , ,,,Informal,Camp,Kuchingoro Idp Site, ,0,0,IOM DTM RD24 August 2018,Kuchingoro Idp Site
250,efaeea06-0bb0-455d-a6e3-61314129003d,7140,1517529600000,dennis.irorere,Vwang,PLSBUU18,Jos South,"32006",Plateau,PL, , , ,0,0,0,0,0,0,0,0,0,0,0,PL_S012, , , , ,0, ,Local NGO,,,Informal,Collective Settlement/Centre,Favor Sister Foundation, ,0,0,IOM DTM RD24 August 2018,Favor Sister Foundation
251,cc2f027d-913f-4855-895f-df9963b013d0,7141,1517529600000,dennis.irorere,City Center 1,FCTABC01,Municipal Area Council,"15006",Fct,FC, , , ,0,0,0,0,0,0,0,0,0,0,0,FC_S007, , , , ,0, , ,,,Informal,Camp,Durumi, ,0,0,IOM DTM RD24 August 2018,Durumi Idp Site
